,*TMS*,PFAM_GB,LG,PFAM,PLANT,INSECT,BLOSUM62,VT,CPREV,YEAST,BIRD,HIVB,MAMMAL,JTT,JTTDCMUT,WAG,MTZOA,RTREV,MTREV,MTMAM,MTVER,MTART,MTMET,MTINV,HIVW
*TMS*,1.0,0.7183059149732829,0.6468497477323547,0.6431816245264309,0.6216998379717077,0.6079152538715682,0.5848518595546985,0.5840063288409953,0.5726545471508249,0.5509668033699386,0.5469725724969462,0.5402516592507741,0.5394641048718604,0.5196070168783159,0.49998017648807086,0.3890687907589258,0.3721687726272412,0.36930658024115004,0.35332357549055915,0.34076532561753237,0.321798623355271,0.30100135270034717,0.283485306450992,0.22479875306307887,0.10419741749253152
PFAM_GB,0.7183059149732829,1.0,0.9537648183437356,0.9622475528904354,0.9164071770615108,0.806985126721491,0.9049094525019962,0.9323407139205109,0.8441808268497512,0.7636198906950272,0.7988807779085744,0.7547138136309145,0.7587622480216957,0.8961209887665299,0.8876910355272333,0.8163351898403127,0.5206983871135934,0.6761162498095945,0.48073611350146583,0.4600999127289456,0.44175916720141645,0.40843947670280595,0.36895974568114304,0.2863546807972034,0.2207372119577059
LG,0.6468497477323547,0.9537648183437356,1.0,0.9676783006182658,0.9326602229135467,0.8528527243681874,0.8929646375132219,0.9619036886987276,0.7989845566756851,0.8131004433033003,0.8352434365061756,0.7944376218407253,0.7837084643920539,0.9242063406624298,0.9164919974961758,0.831549401925197,0.3830717510267284,0.7590210984056052,0.36694260832547404,0.3494323380543415,0.3491654454006517,0.2924747251789338,0.2776954976056161,0.20904091833530966,0.29976095902393407
PFAM,0.6431816245264309,0.9622475528904354,0.9676783006182658,0.9999999999999996,0.9324956312172049,0.794941810936869,0.8874276556711141,0.9730390046054487,0.81398657856578,0.7766981039691123,0.8495657233124242,0.7631651751673865,0.8107427385767193,0.9528376815620445,0.947307733039071,0.8920633656171875,0.40140485328968273,0.6924795808669004,0.377591475065005,0.35819302882371934,0.35020425781610054,0.3050905960756705,0.2728232953872778,0.20144446522572876,0.2733905519733968
PLANT,0.6216998379717077,0.9164071770615108,0.9326602229135467,0.9324956312172049,1.0,0.8991629862452531,0.8597228690517702,0.9434903752711031,0.7584061028531955,0.8813309997384489,0.899902146640059,0.6949075500156442,0.8656761913931305,0.904076503301767,0.8976929041394315,0.8336228584396924,0.4323046925433906,0.6508260199000075,0.36307976756938926,0.3475325194250222,0.3401323489825066,0.36257112200643893,0.34427866930621076,0.3000486578368254,0.24951870836385107
INSECT,0.6079152538715682,0.806985126721491,0.8528527243681874,0.794941810936869,0.8991629862452531,1.0,0.7190287332520319,0.8158053254585794,0.6026126119109488,0.969405235025809,0.8066007589575804,0.6334015307128087,0.7756200037984543,0.7312802190380991,0.7200391336525017,0.6162481341679128,0.34612842117682213,0.6255539754641712,0.3442382087577499,0.3332044063752272,0.3609015989122918,0.3096081174963771,0.3740298510017169,0.3321311055249786,0.2830550620696817
BLOSUM62,0.5848518595546985,0.9049094525019962,0.8929646375132219,0.8874276556711141,0.8597228690517702,0.7190287332520319,1.0,0.9115221804340427,0.8959383603326334,0.6911517674127711,0.7085274119044775,0.747997117690856,0.6514608449784507,0.9002145623026023,0.8977876102570336,0.8527636588194079,0.514705610047088,0.664110894105026,0.4376386820065172,0.422288067034252,0.39673098815386143,0.41204325755823085,0.35779891390012747,0.2912294725742773,0.3521865423134396
VT,0.5840063288409953,0.9323407139205109,0.9619036886987276,0.9730390046054487,0.9434903752711031,0.8158053254585794,0.9115221804340427,0.9999999999999989,0.8351383530909986,0.8114465040812607,0.8828115261600112,0.7706760002057251,0.8438421128555055,0.9803148838438387,0.9742837833910587,0.9058504374002869,0.44531687878421133,0.7544644539286549,0.42534422081384665,0.40762811800142074,0.40756503215883405,0.35404415190640914,0.3296767277318389,0.25038572988437124,0.34320393613028505
CPREV,0.5726545471508249,0.8441808268497512,0.7989845566756851,0.81398657856578,0.7584061028531955,0.6026126119109488,0.8959383603326334,0.8351383530909986,0.9999999999999996,0.5919964410969728,0.640464799674141,0.7885812019363019,0.5964877821047903,0.8329848214682705,0.8273413762598607,0.7514719294443113,0.5925281048393553,0.6741131552789235,0.5213617856205331,0.5079463823506049,0.4615070094296931,0.4992917747506028,0.40324495614954586,0.32193938069354383,0.4276893213352554
YEAST,0.5509668033699386,0.7636198906950272,0.8131004433033003,0.7766981039691123,0.8813309997384489,0.969405235025809,0.6911517674127711,0.8114465040812607,0.5919964410969728,0.9999999999999996,0.7911346527291486,0.5844587749129199,0.7613450571894368,0.7195063703123707,0.7079246860306438,0.6111078539196151,0.3730511822621827,0.6052065705950628,0.3722683841526948,0.3626923599014347,0.3823807017728551,0.3554807813804438,0.42795485390586524,0.38842527591585907,0.31535885068238223
BIRD,0.5469725724969462,0.7988807779085744,0.8352434365061756,0.8495657233124242,0.899902146640059,0.8066007589575804,0.7085274119044775,0.8828115261600112,0.640464799674141,0.7911346527291486,0.9999999999999993,0.6796839742491679,0.990730369099674,0.8780358479216737,0.8716054640433147,0.7666567406052717,0.34877474473848075,0.6748448454173341,0.3304903935665613,0.3131394856157658,0.3232345838827491,0.2796001815120387,0.27076070118136847,0.2101608130451882,0.21970644692951635
HIVB,0.5402516592507741,0.7547138136309145,0.7944376218407253,0.7631651751673865,0.6949075500156442,0.6334015307128087,0.747997117690856,0.7706760002057251,0.7885812019363019,0.5844587749129199,0.6796839742491679,1.0,0.6246966493893721,0.7658199473821605,0.7596733441051499,0.6340034095702295,0.3081837695578256,0.8127491235783694,0.3267700403015012,0.31284542797024384,0.3106332018119832,0.22746393067204088,0.18939384130628,0.12233789172658732,0.44061705682026797
MAMMAL,0.5394641048718604,0.7587622480216957,0.7837084643920539,0.8107427385767193,0.8656761913931305,0.7756200037984543,0.6514608449784507,0.8438421128555055,0.5964877821047903,0.7613450571894368,0.990730369099674,0.6246966493893721,0.9999999999999998,0.8407629645405212,0.8332110703218564,0.7340173346625076,0.3338085743112609,0.6342582648123877,0.3252126840860857,0.30795499276791743,0.32606091481304006,0.2659871919440233,0.26066411120436545,0.19733348203357007,0.19171138957316836
JTT,0.5196070168783159,0.8961209887665299,0.9242063406624298,0.9528376815620445,0.904076503301767,0.7312802190380991,0.9002145623026023,0.9803148838438387,0.8329848214682705,0.7195063703123707,0.8780358479216737,0.7658199473821605,0.8407629645405212,1.0,0.9991436406836303,0.9500896233645173,0.41310584270374784,0.746992728827144,0.38706013816036633,0.3688224385930937,0.36769753864403,0.3126494365125224,0.2736318655835451,0.1968028459946266,0.3364093904733655
JTTDCMUT,0.49998017648807086,0.8876910355272333,0.9164919974961758,0.947307733039071,0.8976929041394315,0.7200391336525017,0.8977876102570336,0.9742837833910587,0.8273413762598607,0.7079246860306438,0.8716054640433147,0.7596733441051499,0.8332110703218564,0.9991436406836303,1.0,0.9579017624528422,0.4033496438737137,0.7432712069536043,0.3735036672292349,0.35522288630219884,0.35353370842587495,0.3026280219199137,0.26293954042787493,0.18866755423392334,0.3349966956940369
WAG,0.3890687907589258,0.8163351898403127,0.831549401925197,0.8920633656171875,0.8336228584396924,0.6162481341679128,0.8527636588194079,0.9058504374002869,0.7514719294443113,0.6111078539196151,0.7666567406052717,0.6340034095702295,0.7340173346625076,0.9500896233645173,0.9579017624528422,1.0,0.3450372018496151,0.6457250693499448,0.2993583666811958,0.2820139324014605,0.2793721768638146,0.2413370423186807,0.19304776746674743,0.131911882937586,0.26794552585311127
MTZOA,0.3721687726272412,0.5206983871135934,0.3830717510267284,0.40140485328968273,0.4323046925433906,0.34612842117682213,0.514705610047088,0.44531687878421133,0.5925281048393553,0.3730511822621827,0.34877474473848075,0.3081837695578256,0.3338085743112609,0.41310584270374784,0.4033496438737137,0.3450372018496151,1.0,0.3022925094345911,0.8972001698881983,0.8951348354290735,0.7965599147267826,0.9620864362839727,0.8630126499799678,0.7663639552883569,0.09140908251818726
RTREV,0.36930658024115004,0.6761162498095945,0.7590210984056052,0.6924795808669004,0.6508260199000075,0.6255539754641712,0.664110894105026,0.7544644539286549,0.6741131552789235,0.6052065705950628,0.6748448454173341,0.8127491235783694,0.6342582648123877,0.746992728827144,0.7432712069536043,0.6457250693499448,0.3022925094345911,0.9999999999999996,0.37360448800798873,0.356355866713738,0.382328372116132,0.21415868435189503,0.20815163133740602,0.11763113716205457,0.34846771733406956
MTREV,0.35332357549055915,0.48073611350146583,0.36694260832547404,0.377591475065005,0.36307976756938926,0.3442382087577499,0.4376386820065172,0.42534422081384665,0.5213617856205331,0.3722683841526948,0.3304903935665613,0.3267700403015012,0.3252126840860857,0.38706013816036633,0.3735036672292349,0.2993583666811958,0.8972001698881983,0.37360448800798873,1.0,0.9989084625579299,0.9689339505574591,0.8459452267055497,0.8345548181698706,0.6576296338778876,0.12136021530845749
MTMAM,0.34076532561753237,0.4600999127289456,0.3494323380543415,0.35819302882371934,0.3475325194250222,0.3332044063752272,0.422288067034252,0.40762811800142074,0.5079463823506049,0.3626923599014347,0.3131394856157658,0.31284542797024384,0.30795499276791743,0.3688224385930937,0.35522288630219884,0.2820139324014605,0.8951348354290735,0.356355866713738,0.9989084625579299,1.0,0.9706577774771069,0.8523276024757545,0.8450515068191699,0.6710316612295323,0.1251499221279491
MTVER,0.321798623355271,0.44175916720141645,0.3491654454006517,0.35020425781610054,0.3401323489825066,0.3609015989122918,0.39673098815386143,0.40756503215883405,0.4615070094296931,0.3823807017728551,0.3232345838827491,0.3106332018119832,0.32606091481304006,0.36769753864403,0.35353370842587495,0.2793721768638146,0.7965599147267826,0.382328372116132,0.9689339505574591,0.9706577774771069,1.0,0.746215412062615,0.7929012995485276,0.6000394666977024,0.15138451775321043
MTART,0.30100135270034717,0.40843947670280595,0.2924747251789338,0.3050905960756705,0.36257112200643893,0.3096081174963771,0.41204325755823085,0.35404415190640914,0.4992917747506028,0.3554807813804438,0.2796001815120387,0.22746393067204088,0.2659871919440233,0.3126494365125224,0.3026280219199137,0.2413370423186807,0.9620864362839727,0.21415868435189503,0.8459452267055497,0.8523276024757545,0.746215412062615,0.9999999999999998,0.9319984003097188,0.8859051170372817,0.09817180616900373
MTMET,0.283485306450992,0.36895974568114304,0.2776954976056161,0.2728232953872778,0.34427866930621076,0.3740298510017169,0.35779891390012747,0.3296767277318389,0.40324495614954586,0.42795485390586524,0.27076070118136847,0.18939384130628,0.26066411120436545,0.2736318655835451,0.26293954042787493,0.19304776746674743,0.8630126499799678,0.20815163133740602,0.8345548181698706,0.8450515068191699,0.7929012995485276,0.9319984003097188,1.0,0.9533690329240004,0.12421527097175566
MTINV,0.22479875306307887,0.2863546807972034,0.20904091833530966,0.20144446522572876,0.3000486578368254,0.3321311055249786,0.2912294725742773,0.25038572988437124,0.32193938069354383,0.38842527591585907,0.2101608130451882,0.12233789172658732,0.19733348203357007,0.1968028459946266,0.18866755423392334,0.131911882937586,0.7663639552883569,0.11763113716205457,0.6576296338778876,0.6710316612295323,0.6000394666977024,0.8859051170372817,0.9533690329240004,1.0,0.0974406398867327
HIVW,0.10419741749253152,0.2207372119577059,0.29976095902393407,0.2733905519733968,0.24951870836385107,0.2830550620696817,0.3521865423134396,0.34320393613028505,0.4276893213352554,0.31535885068238223,0.21970644692951635,0.44061705682026797,0.19171138957316836,0.3364093904733655,0.3349966956940369,0.26794552585311127,0.09140908251818726,0.34846771733406956,0.12136021530845749,0.1251499221279491,0.15138451775321043,0.09817180616900373,0.12421527097175566,0.0974406398867327,0.9999999999999998
