,*TMS*,INSECT,WAG,JTTDCMUT,PFAM_GB,JTT,VT,LG,MAMMAL,PFAM,YEAST,BIRD,PLANT,HIVB,MTVER,MTMET,MTINV,CPREV,RTREV,BLOSUM62,MTREV,MTZOA,HIVW,MTART,MTMAM
*TMS*,1.0,0.6902758313082968,0.6707822539560173,0.6678284563735101,0.6655501864180067,0.6641452417779483,0.6543030583309708,0.6416602486858342,0.6403377547320458,0.6230230544417582,0.6035936899602673,0.5932022886611142,0.58561403201194,0.5494956124513974,0.5482824890997762,0.536605695908782,0.5168869626468467,0.4995703685493389,0.4751119773479001,0.4466077460688692,0.4246193026812223,0.39639834315106764,0.368335159349909,0.26295534559153827,0.23558187857916263
INSECT,0.6902758313082968,1.0,0.8163523909144569,0.8438131781083621,0.9254612604254098,0.8504267008018414,0.8911554431589158,0.8825206282948235,0.7685926579179094,0.907489007815961,0.9379411788524531,0.6659334517813923,0.7733049039497318,0.5933386792208615,0.6903517408900577,0.697496578770095,0.7164227689482803,0.6500549199358284,0.6272565481527301,0.6923882873391753,0.5774099951314655,0.6173199785384461,0.37562885041941085,0.4136259181186194,0.3342300376045447
WAG,0.6707822539560173,0.8163523909144569,1.0,0.8432382285500174,0.8632516071257638,0.8395962771715317,0.9177171296948335,0.8924480649713886,0.668664932054237,0.8563933627729796,0.8264791954711347,0.5897341779507257,0.6721161130120124,0.6020827319720796,0.6286595320566697,0.6503127072125635,0.6681595627058715,0.7166949335550932,0.6287099593910116,0.7761987706329354,0.5426982070495837,0.533574282861718,0.4371358504631981,0.3566719327889254,0.3297018726275423
JTTDCMUT,0.6678284563735101,0.8438131781083621,0.8432382285500174,1.0,0.7859541269429783,0.9881666144164566,0.853907707971014,0.7673481371097133,0.8652202104998888,0.7588389972465343,0.7844939035515353,0.7867742292443213,0.7923629604622436,0.7267864187709774,0.7512628994285084,0.7245834191589315,0.6887783421510957,0.6868651632662576,0.5044547609331502,0.5872248090411376,0.5664882198568919,0.5406426402137361,0.6141159097663917,0.33852315565653596,0.3644460675670513
PFAM_GB,0.6655501864180067,0.9254612604254098,0.8632516071257638,0.7859541269429783,1.0,0.7861015853082687,0.9005649089100488,0.9764011840112514,0.6663167613400105,0.9870914796906572,0.9577870940502304,0.5752339075855492,0.7409027666993648,0.5349753604807265,0.6651649109966103,0.685610090888521,0.7156878368957088,0.6811110202961568,0.6872078969317588,0.7404057939591296,0.5534455529396266,0.6309438882199776,0.32487273105001846,0.40360803963834063,0.3141819230958064
JTT,0.6641452417779483,0.8504267008018414,0.8395962771715317,0.9881666144164566,0.7861015853082687,0.9999999999999991,0.8502019172747476,0.7638586307321366,0.8802082614637381,0.7579060039234026,0.7849201688782639,0.8048615615321874,0.8019542920062314,0.7374898661572584,0.7569444436009001,0.7369705345158161,0.6975136122080525,0.6901545029399405,0.511110790893147,0.5873274805629851,0.5790188816284,0.5549054146938087,0.6194560433591675,0.35234446596726215,0.39160727816620583
VT,0.6543030583309708,0.8911554431589158,0.9177171296948335,0.853907707971014,0.9005649089100488,0.8502019172747476,0.9999999999999991,0.9004927152342291,0.7018101488526022,0.8872133648195164,0.8696657391589578,0.601952877702258,0.6919745828817007,0.5837608456211982,0.6826675096413873,0.7123271768559889,0.7287062242046379,0.7191795275260209,0.6457917663186001,0.8282666098406158,0.5738242364503261,0.6025403345288959,0.3997357822566878,0.40837366469103387,0.32440200351322657
LG,0.6416602486858342,0.8825206282948235,0.8924480649713886,0.7673481371097133,0.9764011840112514,0.7638586307321366,0.9004927152342291,1.0,0.631551081771627,0.980345429808611,0.9359490017827797,0.5460163351808403,0.7022726238682545,0.5229566813436299,0.6279757330383897,0.6569293234539619,0.7010530412245423,0.6687319868044566,0.6852379793984534,0.7798638988603769,0.5283613729929572,0.6067605069946913,0.312838510975848,0.39881923194725394,0.30861631066388073
MAMMAL,0.6403377547320458,0.7685926579179094,0.668664932054237,0.8652202104998888,0.6663167613400105,0.8802082614637381,0.7018101488526022,0.631551081771627,0.9999999999999991,0.6371943780944154,0.6526346494859462,0.9639830695014252,0.7892816239023487,0.7747244606010066,0.7506842359350917,0.7141892410476829,0.6475234797675204,0.5904587990891464,0.40294188677890275,0.4310254702170879,0.5087682386239643,0.5074599353527623,0.6153436261406375,0.33867836318871375,0.3894937094225529
PFAM,0.6230230544417582,0.907489007815961,0.8563933627729796,0.7588389972465343,0.9870914796906572,0.7579060039234026,0.8872133648195164,0.980345429808611,0.6371943780944154,0.9999999999999991,0.9646921352009038,0.5439756322311453,0.7117808302416785,0.5109774328110275,0.6279015079803,0.6483430711910249,0.6871723977761828,0.6509559003956593,0.6847913817776085,0.7489812876449888,0.5237207058292186,0.606136848381483,0.30342965958007895,0.3890893796988128,0.3089674019506726
YEAST,0.6035936899602673,0.9379411788524531,0.8264791954711347,0.7844939035515353,0.9577870940502304,0.7849201688782639,0.8696657391589578,0.9359490017827797,0.6526346494859462,0.9646921352009038,1.0,0.557138334530261,0.7483585215184785,0.5292319727111578,0.6043100842930113,0.6253523574758001,0.6643075141384113,0.6581530831999088,0.6680694829887845,0.707452628360685,0.5164888769136906,0.5889825167963598,0.3314777026364248,0.3899022051953522,0.30313399738017244
BIRD,0.5932022886611142,0.6659334517813923,0.5897341779507257,0.7867742292443213,0.5752339075855492,0.8048615615321874,0.601952877702258,0.5460163351808403,0.9639830695014252,0.5439756322311453,0.557138334530261,0.9999999999999991,0.7522621039116584,0.7793390837808577,0.6816235428050343,0.6461884751836032,0.574684234417489,0.5271936955405674,0.34513165674909607,0.34255071322849356,0.4291458534158572,0.4440384277985927,0.6104814918159418,0.3018598174487448,0.37815607661771095
PLANT,0.58561403201194,0.7733049039497318,0.6721161130120124,0.7923629604622436,0.7409027666993648,0.8019542920062314,0.6919745828817007,0.7022726238682545,0.7892816239023487,0.7117808302416785,0.7483585215184785,0.7522621039116584,0.9999999999999996,0.6840872566627662,0.6807305617523742,0.6476614848788387,0.6193358403818274,0.61459688348221,0.4788402052171539,0.4617416431400406,0.46834548481159005,0.5154439658915186,0.5022324671173973,0.3669584187523025,0.3656954058743961
HIVB,0.5494956124513974,0.5933386792208615,0.6020827319720796,0.7267864187709774,0.5349753604807265,0.7374898661572584,0.5837608456211982,0.5229566813436299,0.7747244606010066,0.5109774328110275,0.5292319727111578,0.7793390837808577,0.6840872566627662,1.0,0.6011800756575156,0.5719234111039504,0.5175281936685486,0.5570328984310491,0.3617220529963363,0.3565009812202063,0.3924504390670028,0.38386814097246275,0.6056630402108034,0.25244194132607106,0.3396447899633986
MTVER,0.5482824890997762,0.6903517408900577,0.6286595320566697,0.7512628994285084,0.6651649109966103,0.7569444436009001,0.6826675096413873,0.6279757330383897,0.7506842359350917,0.6279015079803,0.6043100842930113,0.6816235428050343,0.6807305617523742,0.6011800756575156,1.0,0.8875122481290942,0.8003778155452868,0.584565932907484,0.42108428106941465,0.4472372209688604,0.6417582142626276,0.6595983066380774,0.4361077651616255,0.4336808402997187,0.4379353245220483
MTMET,0.536605695908782,0.697496578770095,0.6503127072125635,0.7245834191589315,0.685610090888521,0.7369705345158161,0.7123271768559889,0.6569293234539619,0.7141892410476829,0.6483430711910249,0.6253523574758001,0.6461884751836032,0.6476614848788387,0.5719234111039504,0.8875122481290942,0.9999999999999993,0.9526037424420404,0.6531620381874784,0.44978945094569595,0.5180312174619197,0.665133427222168,0.803645223984866,0.38774465342216785,0.6078244982214276,0.4282052963669902
MTINV,0.5168869626468467,0.7164227689482803,0.6681595627058715,0.6887783421510957,0.7156878368957088,0.6975136122080525,0.7287062242046379,0.7010530412245423,0.6475234797675204,0.6871723977761828,0.6643075141384113,0.574684234417489,0.6193358403818274,0.5175281936685486,0.8003778155452868,0.9526037424420404,0.9999999999999993,0.6547722332885613,0.4689626811194058,0.572363127603521,0.6676156619311965,0.8328245965045785,0.3252883632547235,0.6386003494511713,0.3930998654993828
CPREV,0.4995703685493389,0.6500549199358284,0.7166949335550932,0.6868651632662576,0.6811110202961568,0.6901545029399405,0.7191795275260209,0.6687319868044566,0.5904587990891464,0.6509559003956593,0.6581530831999088,0.5271936955405674,0.61459688348221,0.5570328984310491,0.584565932907484,0.6531620381874784,0.6547722332885613,0.9999999999999993,0.46767374256359434,0.5846555973014301,0.5507566566883948,0.5069104216614292,0.3952528381792237,0.439756403202878,0.33029337568613926
RTREV,0.4751119773479001,0.6272565481527301,0.6287099593910116,0.5044547609331502,0.6872078969317588,0.511110790893147,0.6457917663186001,0.6852379793984534,0.40294188677890275,0.6847913817776085,0.6680694829887845,0.34513165674909607,0.4788402052171539,0.3617220529963363,0.42108428106941465,0.44978945094569595,0.4689626811194058,0.46767374256359434,0.9999999999999973,0.5495903292322929,0.3515460798964742,0.4368481335301943,0.186426305107577,0.32817590099794614,0.2164834663925626
BLOSUM62,0.4466077460688692,0.6923882873391753,0.7761987706329354,0.5872248090411376,0.7404057939591296,0.5873274805629851,0.8282666098406158,0.7798638988603769,0.4310254702170879,0.7489812876449888,0.707452628360685,0.34255071322849356,0.4617416431400406,0.3565009812202063,0.4472372209688604,0.5180312174619197,0.572363127603521,0.5846555973014301,0.5495903292322929,1.0,0.4409622661675246,0.5060335499931073,0.20224621683452867,0.3840093582090479,0.23499805555631675
MTREV,0.4246193026812223,0.5774099951314655,0.5426982070495837,0.5664882198568919,0.5534455529396266,0.5790188816284,0.5738242364503261,0.5283613729929572,0.5087682386239643,0.5237207058292186,0.5164888769136906,0.4291458534158572,0.46834548481159005,0.3924504390670028,0.6417582142626276,0.665133427222168,0.6676156619311965,0.5507566566883948,0.3515460798964742,0.4409622661675246,1.0,0.5962557484477709,0.2851096674209585,0.4444533389425787,0.5112654563399687
MTZOA,0.39639834315106764,0.6173199785384461,0.533574282861718,0.5406426402137361,0.6309438882199776,0.5549054146938087,0.6025403345288959,0.6067605069946913,0.5074599353527623,0.606136848381483,0.5889825167963598,0.4440384277985927,0.5154439658915186,0.38386814097246275,0.6595983066380774,0.803645223984866,0.8328245965045785,0.5069104216614292,0.4368481335301943,0.5060335499931073,0.5962557484477709,0.9999999999999996,0.22474171734706436,0.6549922582262647,0.3309455635653125
HIVW,0.368335159349909,0.37562885041941085,0.4371358504631981,0.6141159097663917,0.32487273105001846,0.6194560433591675,0.3997357822566878,0.312838510975848,0.6153436261406375,0.30342965958007895,0.3314777026364248,0.6104814918159418,0.5022324671173973,0.6056630402108034,0.4361077651616255,0.38774465342216785,0.3252883632547235,0.3952528381792237,0.186426305107577,0.20224621683452867,0.2851096674209585,0.22474171734706436,0.9999999999999991,0.15599767008323162,0.22263331499578376
MTART,0.26295534559153827,0.4136259181186194,0.3566719327889254,0.33852315565653596,0.40360803963834063,0.35234446596726215,0.40837366469103387,0.39881923194725394,0.33867836318871375,0.3890893796988128,0.3899022051953522,0.3018598174487448,0.3669584187523025,0.25244194132607106,0.4336808402997187,0.6078244982214276,0.6386003494511713,0.439756403202878,0.32817590099794614,0.3840093582090479,0.4444533389425787,0.6549922582262647,0.15599767008323162,0.9999999999999998,0.25868314190621805
MTMAM,0.23558187857916263,0.3342300376045447,0.3297018726275423,0.3644460675670513,0.3141819230958064,0.39160727816620583,0.32440200351322657,0.30861631066388073,0.3894937094225529,0.3089674019506726,0.30313399738017244,0.37815607661771095,0.3656954058743961,0.3396447899633986,0.4379353245220483,0.4282052963669902,0.3930998654993828,0.33029337568613926,0.2164834663925626,0.23499805555631675,0.5112654563399687,0.3309455635653125,0.22263331499578376,0.25868314190621805,0.9999999999999987
