,*TMS*,WAG,JTTDCMUT,VT,JTT,INSECT,LG,PFAM_GB,PFAM,MAMMAL,YEAST,BIRD,PLANT,HIVB,CPREV,BLOSUM62,RTREV,MTVER,HIVW,MTMET,MTREV,MTINV,MTZOA,MTMAM,MTART
*TMS*,1.0,0.6737180036270508,0.6543546554331328,0.649727751068954,0.6477228746543828,0.6428256267193763,0.6295586962525306,0.6245368572576615,0.6124206847338048,0.6103271086769517,0.5958104238953068,0.5639015309629164,0.5591992778042584,0.5468327991115467,0.5447032846711722,0.4920420402617886,0.4424155946962661,0.43435873237618433,0.4166165251060615,0.36775787767212165,0.34665592765863895,0.31325965492875135,0.28335914273465657,0.22906973992172405,0.1886373132662688
WAG,0.6737180036270508,0.9999999999999982,0.8692098129265561,0.9254719881549031,0.8665007452517426,0.8573956163707837,0.9031034643314133,0.8745346901645588,0.8894941904349473,0.7124708051628091,0.8735040490582933,0.6228218246825751,0.702649310961162,0.6019063824445366,0.7705465586099546,0.7985144851681291,0.6376544442730195,0.5874367703943446,0.47297233495446545,0.537772862249652,0.47859396714139374,0.49413085769050213,0.4641929238995465,0.3069046497105907,0.30720002418553133
JTTDCMUT,0.6543546554331328,0.8692098129265561,1.0,0.8645338782394496,0.9902924842604459,0.868497433601207,0.7916437100554014,0.8049137641758501,0.7947790455186553,0.8860353089915336,0.8148400576907656,0.801797101567421,0.8070252533206814,0.7137592623543773,0.7396164423604367,0.6560493794553733,0.520812568915737,0.6848969469384106,0.6345237546249426,0.5906208063441778,0.4967410961728841,0.5053175682384273,0.4789252119754544,0.3423304155790516,0.3011469667126541
VT,0.649727751068954,0.9254719881549031,0.8645338782394496,0.9999999999999996,0.8629087933388437,0.89947221497288,0.8754548684368774,0.857223013032192,0.8746500693088274,0.7187301057282816,0.8851481015144603,0.6081710163458659,0.6880379970489447,0.5557271759437332,0.7828766408048647,0.8708003579562356,0.6162872409314452,0.579337321441314,0.4443476921785497,0.5464443233905928,0.48710953183792116,0.5063183299910112,0.4788004346232546,0.2894284764666262,0.33218814940305247
JTT,0.6477228746543828,0.8665007452517426,0.9902924842604459,0.8629087933388437,0.9999999999999998,0.8722106348876595,0.7870810214733973,0.8026153161850313,0.792446710548609,0.8970784433260199,0.8142294488525805,0.8156888605223384,0.8135481526330914,0.7214442380036653,0.7429072895090164,0.658134352186669,0.525250525890144,0.6882032952029397,0.6408551970810564,0.6002833413023029,0.5066841772426794,0.512929813078912,0.4888382424106797,0.3655463008945699,0.3120844770839051
INSECT,0.6428256267193763,0.8573956163707837,0.868497433601207,0.89947221497288,0.8722106348876595,1.0,0.8909154580097806,0.9192935022059895,0.9035071172852346,0.7827118086089901,0.9445422600879292,0.6784572987917163,0.7838296682607979,0.5943091719494965,0.732465507471122,0.7726320468038773,0.6214427955581129,0.6404888921686694,0.4376128754052118,0.6061826564375422,0.5267522342091446,0.564949870480495,0.5493673700797127,0.3282657700433617,0.3919234864113138
LG,0.6295586962525306,0.9031034643314133,0.7916437100554014,0.8754548684368774,0.7870810214733973,0.8909154580097806,1.0,0.9780838584945183,0.9838885959513728,0.6634242611215476,0.9423393343030354,0.5763084755580133,0.7288696587579888,0.5428645130287217,0.7260553721286849,0.7868775420325487,0.682924922163454,0.6027341529478109,0.3641994908061993,0.5633068348068611,0.4892994584270223,0.5353987581633127,0.5420712290065973,0.3111807822968943,0.3635011082061322
PFAM_GB,0.6245368572576615,0.8745346901645588,0.8049137641758501,0.857223013032192,0.8026153161850313,0.9192935022059895,0.9780838584945183,0.9999999999999993,0.9831302932642715,0.6992502255544347,0.9453596543545408,0.6125789353396789,0.7627731259130942,0.5602197239231083,0.7183589397438906,0.7519955137010639,0.6788722302908513,0.6399123715647199,0.3749780544713844,0.5924101724397526,0.5021435635938191,0.5530099985698911,0.5731810300800922,0.32066826210810373,0.37242465773737143
PFAM,0.6124206847338048,0.8894941904349473,0.7947790455186553,0.8746500693088274,0.792446710548609,0.9035071172852346,0.9838885959513728,0.9831302932642715,1.0,0.6736136556635363,0.9576840045280448,0.5798510820311087,0.7336463738923894,0.5368757410787123,0.7131775415686443,0.7768138289237464,0.6797419962542056,0.6016358987829793,0.3630341486481264,0.5521833056343876,0.4836270096198722,0.5211435020577417,0.5398382348165429,0.3129665998553074,0.3488019232453673
MAMMAL,0.6103271086769517,0.7124708051628091,0.8860353089915336,0.7187301057282816,0.8970784433260199,0.7827118086089901,0.6634242611215476,0.6992502255544347,0.6736136556635363,1.0,0.6793163777294376,0.9642927340391851,0.8101640839864542,0.7711950812663277,0.652497508591527,0.505964177601615,0.4310225927709686,0.6929755932106059,0.6439892244660115,0.587797967043776,0.4550250307300005,0.48185977175123434,0.4614688128981571,0.3795512297931997,0.30429497152627694
YEAST,0.5958104238953068,0.8735040490582933,0.8148400576907656,0.8851481015144603,0.8142294488525805,0.9445422600879292,0.9423393343030354,0.9453596543545408,0.9576840045280448,0.6793163777294376,1.0,0.5791263236055525,0.7557641691671285,0.5384933434302948,0.7443005274227043,0.7775281248689864,0.6598781961659937,0.5853209549424455,0.395135041063326,0.5668229538911396,0.5047378061577003,0.5471171010646586,0.5372596460708993,0.31160330227023764,0.3790599602225611
BIRD,0.5639015309629164,0.6228218246825751,0.801797101567421,0.6081710163458659,0.8156888605223384,0.6784572987917163,0.5763084755580133,0.6125789353396789,0.5798510820311087,0.9642927340391851,0.5791263236055525,1.0,0.7750522774079998,0.7841644858605509,0.5784971078524073,0.40338497898641734,0.36976685842874807,0.6434034458710052,0.6353080434946796,0.5497379356743944,0.392292698258891,0.44472920561005547,0.42099856157314886,0.37466075482453365,0.28379033315464236
PLANT,0.5591992778042584,0.702649310961162,0.8070252533206814,0.6880379970489447,0.8135481526330914,0.7838296682607979,0.7288696587579888,0.7627731259130942,0.7336463738923894,0.8101640839864542,0.7557641691671285,0.7750522774079998,1.0,0.6867107729975546,0.647733522543405,0.5201343377901845,0.48103607856821873,0.6485112268625942,0.5343413802277313,0.5690259536859752,0.42919279064956706,0.4977609670566871,0.4856233559463441,0.3649204320417708,0.3479988355762562
HIVB,0.5468327991115467,0.6019063824445366,0.7137592623543773,0.5557271759437332,0.7214442380036653,0.5943091719494965,0.5428645130287217,0.5602197239231083,0.5368757410787123,0.7711950812663277,0.5384933434302948,0.7841644858605509,0.6867107729975546,1.0,0.5732496127543539,0.37383378485037727,0.3905360125340222,0.5660422913646932,0.6229824405879529,0.4822901971955347,0.3497430304814324,0.3927175215884535,0.3540654571212554,0.3305995082239837,0.22778305363270532
CPREV,0.5447032846711722,0.7705465586099546,0.7396164423604367,0.7828766408048647,0.7429072895090164,0.732465507471122,0.7260553721286849,0.7183589397438906,0.7131775415686443,0.652497508591527,0.7443005274227043,0.5784971078524073,0.647733522543405,0.5732496127543539,0.9999999999999991,0.6728268240907085,0.49821754901302623,0.531281612025425,0.4586365954982913,0.5592122134204005,0.48476588551587413,0.528156386702579,0.44230861240833386,0.31276810890658235,0.37985307680800184
BLOSUM62,0.4920420402617886,0.7985144851681291,0.6560493794553733,0.8708003579562356,0.658134352186669,0.7726320468038773,0.7868775420325487,0.7519955137010639,0.7768138289237464,0.505964177601615,0.7775281248689864,0.40338497898641734,0.5201343377901845,0.37383378485037727,0.6728268240907085,0.9999999999999996,0.5382627568740783,0.41503499953494144,0.26349798361173066,0.44592189318067016,0.39018094988639596,0.4491088065682427,0.4355165408116785,0.21256968446058752,0.33400996086988216
RTREV,0.4424155946962661,0.6376544442730195,0.520812568915737,0.6162872409314452,0.525250525890144,0.6214427955581129,0.682924922163454,0.6788722302908513,0.6797419962542056,0.4310225927709686,0.6598781961659937,0.36976685842874807,0.48103607856821873,0.3905360125340222,0.49821754901302623,0.5382627568740783,0.9999999999999993,0.4075679367596338,0.22720762858615104,0.3703015350261649,0.32992500462585417,0.34002679906419003,0.37406140644908026,0.22217060742488326,0.2759075271133487
MTVER,0.43435873237618433,0.5874367703943446,0.6848969469384106,0.579337321441314,0.6882032952029397,0.6404888921686694,0.6027341529478109,0.6399123715647199,0.6016358987829793,0.6929755932106059,0.5853209549424455,0.6434034458710052,0.6485112268625942,0.5660422913646932,0.531281612025425,0.41503499953494144,0.4075679367596338,1.0,0.4221228318415781,0.8560386656647946,0.6867404563888475,0.7318743608675494,0.6902382208427783,0.4753591180413504,0.4822926610684001
HIVW,0.4166165251060615,0.47297233495446545,0.6345237546249426,0.4443476921785497,0.6408551970810564,0.4376128754052118,0.3641994908061993,0.3749780544713844,0.3630341486481264,0.6439892244660115,0.395135041063326,0.6353080434946796,0.5343413802277313,0.6229824405879529,0.4586365954982913,0.26349798361173066,0.22720762858615104,0.4221228318415781,0.9999999999999989,0.35458149468906425,0.2746915480352238,0.2793926376979022,0.2241902351532823,0.2175552973555223,0.15784137650334645
MTMET,0.36775787767212165,0.537772862249652,0.5906208063441778,0.5464443233905928,0.6002833413023029,0.6061826564375422,0.5633068348068611,0.5924101724397526,0.5521833056343876,0.587797967043776,0.5668229538911396,0.5497379356743944,0.5690259536859752,0.4822901971955347,0.5592122134204005,0.44592189318067016,0.3703015350261649,0.8560386656647946,0.35458149468906425,1.0,0.6789967728927042,0.9513345425665707,0.8171279223708524,0.4339296264277678,0.6814945660799863
MTREV,0.34665592765863895,0.47859396714139374,0.4967410961728841,0.48710953183792116,0.5066841772426794,0.5267522342091446,0.4892994584270223,0.5021435635938191,0.4836270096198722,0.4550250307300005,0.5047378061577003,0.392292698258891,0.42919279064956706,0.3497430304814324,0.48476588551587413,0.39018094988639596,0.32992500462585417,0.6867404563888475,0.2746915480352238,0.6789967728927042,0.9999999999999984,0.6407167213546664,0.609121063065315,0.5146999078667546,0.4746095745133174
MTINV,0.31325965492875135,0.49413085769050213,0.5053175682384273,0.5063183299910112,0.512929813078912,0.564949870480495,0.5353987581633127,0.5530099985698911,0.5211435020577417,0.48185977175123434,0.5471171010646586,0.44472920561005547,0.4977609670566871,0.3927175215884535,0.528156386702579,0.4491088065682427,0.34002679906419003,0.7318743608675494,0.2793926376979022,0.9513345425665707,0.6407167213546664,1.0,0.8173478685449246,0.37004223838698425,0.7156817290022498
MTZOA,0.28335914273465657,0.4641929238995465,0.4789252119754544,0.4788004346232546,0.4888382424106797,0.5493673700797127,0.5420712290065973,0.5731810300800922,0.5398382348165429,0.4614688128981571,0.5372596460708993,0.42099856157314886,0.4856233559463441,0.3540654571212554,0.44230861240833386,0.4355165408116785,0.37406140644908026,0.6902382208427783,0.2241902351532823,0.8171279223708524,0.609121063065315,0.8173478685449246,1.0,0.34910388168030454,0.6852341569966891
MTMAM,0.22906973992172405,0.3069046497105907,0.3423304155790516,0.2894284764666262,0.3655463008945699,0.3282657700433617,0.3111807822968943,0.32066826210810373,0.3129665998553074,0.3795512297931997,0.31160330227023764,0.37466075482453365,0.3649204320417708,0.3305995082239837,0.31276810890658235,0.21256968446058752,0.22217060742488326,0.4753591180413504,0.2175552973555223,0.4339296264277678,0.5146999078667546,0.37004223838698425,0.34910388168030454,1.0,0.2738115939301388
MTART,0.1886373132662688,0.30720002418553133,0.3011469667126541,0.33218814940305247,0.3120844770839051,0.3919234864113138,0.3635011082061322,0.37242465773737143,0.3488019232453673,0.30429497152627694,0.3790599602225611,0.28379033315464236,0.3479988355762562,0.22778305363270532,0.37985307680800184,0.33400996086988216,0.2759075271133487,0.4822926610684001,0.15784137650334645,0.6814945660799863,0.4746095745133174,0.7156817290022498,0.6852341569966891,0.2738115939301388,1.0
